"","subject","rt","button_pressed","key","scale_degree","score","stimuli_together"
"91",7361,"15500.264999922365","fa","c","fi",0,"c-fi.mp3"
"92",7361,"11038.965000072494","do","a","do8",0,"a-do8.mp3"
"93",7361,"12383.240000111982","do","e","do8",0,"e-do8.mp3"
"94",7361,"8105.890000006184","re","c","re",1,"c-re.mp3"
"95",7361,"null","null","c","ra",0,"c-ra.mp3"
"96",7361,"8889.149999944493","fi","e","fi",1,"e-fi.mp3"
"97",7361,"11675.754999974743","do","c","do8",0,"c-do8.mp3"
"98",7361,"10009.559999918565","la","e","te",0,"e-te.mp3"
"99",7361,"10347.049999982119","le","e","le",1,"e-le.mp3"
"100",7361,"9980.86000001058","sol","c","sol",1,"c-sol.mp3"
"101",7361,"11968.594999983907","ra","e","ra",1,"e-ra.mp3"
"102",7361,"8198.379999957979","do","e","do",1,"e-do.mp3"
"103",7361,"10435.599999967963","la","c","la",1,"c-la.mp3"
"104",7361,"13791.669999947771","mi","c","mi",1,"c-mi.mp3"
"105",7361,"10088.620000053197","fa","a","fa",1,"a-fa.mp3"
"106",7361,"16916.895000031218","ti","a","ti",1,"a-ti.mp3"
"107",7361,"9253.870000131428","ti","e","ti",1,"e-ti.mp3"
"108",7361,"11382.590000052005","la","a","la",1,"a-la.mp3"
"109",7361,"11001.324999844655","le","a","te",0,"a-te.mp3"
"110",7361,"9074.645000044256","re","a","re",1,"a-re.mp3"
"111",7361,"8662.740000057966","mi","e","mi",1,"e-mi.mp3"
"112",7361,"9662.040000082925","me","e","me",1,"e-me.mp3"
"113",7361,"12718.450000043958","le","a","le",1,"a-le.mp3"
"114",7361,"9270.669999998063","me","a","me",1,"a-me.mp3"
"115",7361,"14065.269999904558","ti","c","ti",1,"c-ti.mp3"
"116",7361,"8333.719999995083","do","a","do",1,"a-do.mp3"
"117",7361,"8031.999999890104","do","c","do",1,"c-do.mp3"
"118",7361,"11580.66500001587","sol","e","sol",1,"e-sol.mp3"
"119",7361,"16180.81000004895","le","c","le",1,"c-le.mp3"
"120",7361,"10694.205000065267","fi","a","fi",1,"a-fi.mp3"
"121",7361,"118201.11000002362",NA,NA,NA,NA,NA
"122",7361,"null",NA,"new","stimuli",NA,"new_stimuli/mp3/melody_v7_v3_buffer.mp3"
"123",7361,"12571.8999998644","fi","","p",0,"<p>Which tone was played first after the cadence?</p>"
